word,gender,race
balmier,-0.053808752,0.290417402
barcode,0.16804773,-0.335892514
binder,0.067285383,0.350382128
feckin,-0.410048622,0.218106996
filaments,-0.086871961,0.333921223
milieus,0.311899238,-0.264235445
flus,-0.004538088,0.149323927
visitng,-0.169529984,-0.054382598
stoker,-0.058995138,0.430922986
anomalous,-0.084278768,0.088771311
becalmed,-0.038573744,0.532039976
paraplanner,0.106397083,0.161669606
bicentennial,0.090155784,-0.291746641
longnecks,0.049386808,0.061728395
apomorphine,-0.074230146,0.214579659
stoked,-0.159481361,0.039388595
marchitecture,-0.08006483,0.509700176
riddim,0.058999006,-0.301983365
dahlings,0.448458734,0.002939447
lemmings,-0.157536467,0.336272781
bobwhite,-0.024311183,0.368018812
bhai,-0.153646677,-0.052463212
mbd,-0.04376013,0.214579659
honeymoon,0.039443155,0.147560259
nongovernmental,0.212131256,-0.394753679
mba,0.26582698,-0.24056302
waxwings,0.150149155,0.482069371
marshals,-0.215235008,-0.099808061
hallucinogenic,0.127278754,0.070546737
immunodiagnostics,0.155120981,0.200470312
despised,-0.336466775,0.006466784
fabric,0.375538615,-0.378119002
altitude,-0.166936791,0.07877719
lastest,0.022870401,-0.044785669
tame,-0.201620746,-0.2296865
wordpress,0.043420617,0.19047619
tamp,-0.105996759,-0.133077415
nondiversified,0.049718263,-0.234165067
dnp,0.174676831,0.48265726
waistcoat,-0.117666126,-0.034548944
nonelectric,-0.007455429,0.509700176
cyberespionage,0.102088167,-0.149712092
tama,0.015246934,-0.019833653
musclebound,-0.419448947,0.106995885
nonvoting,-0.018476499,-0.175943698
multiproduct,0.076566125,0.081716637
verde,0.147497514,0.071134627
streetcorner,0.008617832,-0.521433141
bridgework,0.052701359,0.06760729
safeguard,-0.054781199,0.206349206
incinerator,0.082200862,0.132275132
duel,-0.302755267,0.023515579
rousted,-0.330632091,0.322751323
masquerading,-0.114100486,0.015285126
layin,0.235996023,0.322751323
izakaya,0.026847862,0.184597296
smasher,-0.167585089,0.017048795
laicism,-0.041815235,0.562610229
humbler,-0.31280389,-0.316058861
unanimous,-0.020745543,0.216931217
pesos,0.091150149,-0.067818298
smashed,-0.131604538,0.085243974
duet,0.407026848,0.047619048
fireboat,-0.081037277,-0.003838772
jamband,-0.072933549,0.198706643
discountenance,0.016241299,-0.281509917
disgrace,-0.366612642,-0.381957774
flyback,-0.165316045,0.233392122
holdback,-0.059643436,0.038800705
minibar,0.053695724,0.686067019
megahertz,-0.042463533,0.388007055
fourballs,0.097779251,0.307466196
biden,-0.105024311,-0.187460013
calzones,-0.104700162,0.252204586
forestland,-0.009076175,-0.166346769
cocreator,-0.143922204,-0.006397953
fanzine,-0.224635332,-0.023672425
railhead,-0.031766613,0.305114638
signification,0.213788532,0.22457378
timezone,0.002320186,0.364491476
fibroids,0.478952602,-0.447856686
uncuffed,-0.44732577,0.212815991
gastroparesis,0.215114352,0.007054674
amphitheatres,0.023864766,0.104644327
narrowband,0.002983096,0.32569077
underfed,0.006629102,-0.322456814
role,-0.154943274,-0.273832374
shotter,-0.451863857,-0.067178503
carbonaceous,0.055684455,-0.039667306
boobirds,-0.519286872,-0.006397953
transgender,0.464037123,-0.702495202
roll,-0.13808752,0.065843621
serverless,0.149486245,0.373309818
thoroughgoing,-0.208103728,0.298059965
ointment,-0.085575365,-0.038387716
outage,0.210805436,0.084068195
somehting,-0.345867099,-0.38643634
cyanosis,0.249254226,0.086419753
intent,-0.228849271,0.008818342
frustation,-0.316693679,-0.200255918
surfboat,0.042757706,0.330393886
variable,0.103745442,0.274544386
syenite,0.151474975,0.010582011
reabsorption,0.062313557,0.085831864
microstamping,-0.131928687,0.0446796
shootout,-0.273257699,-0.340371081
hypoallergenic,0.26450116,-0.04734485
unshipped,0.05734173,-0.007677543
soundbar,-0.121231767,0.216343327
multifocal,0.24494531,-0.202175304
arcadey,-0.317990276,0.289241623
quadbike,-0.004862237,0.410934744
overturned,-0.133873582,0.469135802
restaging,0.268478621,-0.050543826
depuis,0.048392443,0.311581423
steelhead,-0.183144246,0.379188713
disaffiliation,0.116009281,0.132275132
gown,0.602253895,-0.154830454
cincinnati,-0.043435981,-0.13371721
guideway,0.162081538,0.081128748
chain,0.090155784,-0.394113884
whoever,-0.540032415,-0.265515035
oss,0.047729533,0.299235744
osr,0.008617832,0.499118166
osu,-0.100810373,-0.244401791
ost,-0.011993517,0.196942975
innerspring,0.329797812,0.275720165
bemedalled,0.044414982,-0.147152911
bandits,-0.18897893,0.013521458
ironmonger,0.004308916,0.054673721
chair,0.214119987,0.275720165
ose,-0.117017828,-0.413307742
nonproliferation,0.025522042,-0.326935381
irrecoverable,0.058999006,-0.062060141
ballet,0.541597614,-0.3378119
amplification,-0.033711507,0.137566138
baller,-0.353970827,-0.394753679
melittin,-0.03273906,0.346854791
precognition,0.102419622,-0.011516315
freelance,0.214119987,-0.08381318
