word,gender,religion,race,age,economic
president,-0.0471,0.0422,-0.0391,0.0781,-0.0107
meeting,-0.0263,-0.0308,0.0435,0.0508,-0.0633
keep,-0.0146,-0.0148,-0.0039,-0.0247,0.0222
future,-0.0653,-0.0844,0.0247,-0.011,0.0015
far,-0.0284,-0.0375,0.0419,-0.0159,-0.0137
deal,-0.0753,-0.045,0.0307,-0.05,0.0295
development,-0.0146,-0.0467,-0.0179,-0.0226,-0.0438
find,0.012,-0.0336,-0.0117,-0.0142,0.07
times,-0.0563,0.007,0.0077,0.0006,0.0367
office,0.0214,0.0092,-0.013,0.0679,0.0093
led,-0.0708,-0.0727,0.0084,-0.0445,-0.0168
among,-0.0409,-0.0252,0.0316,0.0102,0.0302
increase,0.0035,0.044,0.0524,0.05,0.0242
whether,-0.031,-0.0185,0.0043,0.0482,0.0015
cost,0.0054,-0.0049,0.0535,0.0406,0.0194
security,-0.0248,0.105,0.0042,-0.0403,-0.0368
job,-0.0518,-0.0431,-0.0152,-0.0269,0.098
less,-0.034,0.0021,0.0561,0.0472,0.0136
head,-0.0957,0.0318,0.0161,0.0141,-0.0205
seven,-0.0403,-0.0115,0.0352,-0.0629,-0.0251
growth,0.0109,-0.0523,0.0421,0.0254,-0.0375
lost,-0.0518,-0.0252,-0.0239,-0.0086,0.0994
pay,-0.0117,0.0684,0.0253,0.0164,0.0369
looking,0.0037,-0.0341,0.0313,-0.0274,-0.0495
provide,0.0181,0.0043,0.0145,-0.0311,0.0351
plans,-0.0034,0.0073,0.0386,0.0412,-0.0214
products,0.0426,-0.0246,0.0236,0.0232,0.0297
car,-0.0022,0.0308,0.061,-0.011,-0.0363
recent,-0.0244,-0.0123,0.019,-0.0026,-0.0603
hard,-0.0441,-0.0762,-0.03,-0.0604,-0.0211
always,-0.0434,-0.0737,0.0037,-0.0062,-0.0565
include,-0.0037,-0.0166,0.0122,-0.0232,-0.0994
women,0.2075,0.0787,-0.0335,0.0648,0.065
across,0.0505,-0.067,-0.0012,-0.0021,0.0119
tax,0.0275,-0.0059,0.0167,0.0487,0.0002
water,0.0224,-0.014,0.0122,-0.0201,0.0639
continue,-0.0337,-0.017,0.0265,-0.0488,0.0154
important,-0.0149,-0.0163,0.0025,0.0042,-0.1445
different,-0.0108,-0.0847,0.0625,-0.028,-0.0443
close,-0.0169,0.0348,0.0446,0.017,-0.062
late,-0.0421,0.0211,0.023,0.0883,0.0124
decision,-0.0769,-0.0163,0.0498,-0.0075,0.021
current,-0.075,-0.0093,0.0642,0.0317,0.016
law,0.0462,0.1108,-0.0015,0.0422,0.0574
within,-0.0155,-0.0252,0.0417,-0.0239,-0.0197
along,-0.0232,-0.0652,0.078,-0.0332,-0.0403
played,-0.0731,-0.0718,0.0467,-0.0722,-0.0169
move,-0.0354,-0.0509,-0.0093,-0.0369,-0.0345
enough,-0.0163,0.0126,0.0031,-0.012,0.0191
become,-0.0075,-0.0515,-0.0146,0.025,0.0316
side,-0.0917,-0.0938,0.1086,-0.0408,-0.0367
national,-0.0439,-0.0041,-0.0046,0.0226,0.0404
results,0.0246,0.0011,0.0512,0.0169,0.0398
level,-0.0642,-0.034,0.0894,0.0031,0.0158
