word,gender,religion,race,age,economic
pay,-0.219900564,0.848718831,-0.273615765,-0.59569444,0.266566756
looking,-0.258062349,-0.441755427,0.682272235,-0.263424208,-0.210035731
provide,0.331833243,0.079820981,-0.732048827,0.431801185,0.759301492
plans,-0.442219833,0.133526779,0.025995908,0.276994765,-0.335145772
products,0.642945453,-0.325064042,-0.812988671,0.997526319,0.735225125
car,-0.292495297,0.507106674,0.644682473,-0.382777761,-0.561597017
recent,-0.311844934,-0.160711878,0.632045573,-0.20926738,-0.296411372
hard,-0.891460629,-0.819030605,0.62955831,0.038255767,0.771421125
always,-0.870599301,-0.803390859,0.343362619,0.074383018,0.44011859
include,-0.133700618,-0.219327221,-0.569889899,0.513720301,-0.90813526
women,0.998021858,0.89504746,0.106591246,-0.94746849,0.53802046
across,0.685376589,-0.758628826,0.647931961,0.030662141,-0.16239449
tax,-0.222890352,-0.075603344,0.71813696,-0.0785366,-0.851846098
water,0.118342317,-0.183935553,0.100373089,-0.492287405,0.938000912
continue,-0.574879065,-0.224383174,-0.118278283,0.287522292,0.210529745
important,-0.320881483,-0.214911689,-0.649832456,-0.487963446,-0.090518357
different,-0.505610051,-0.861433194,0.031572191,-0.215584655,0.472958884
close,-0.445612739,0.559287857,-0.647877772,-0.458983716,-0.499715188
late,-0.782820478,0.365465008,0.572471617,-0.68711092,0.2642536
decision,-0.936273851,-0.214001618,-0.219762247,-0.022171793,0.26708803
current,-0.809762161,-0.120264258,-0.088519228,0.148190761,0.261288851
law,0.326294446,0.963310874,0.279175192,-0.22892453,0.598976999
within,-0.177808385,-0.331232304,-0.607348013,0.098832192,-0.188441821
along,-0.228063693,-0.74501146,0.208930076,-0.583734552,-0.034643467
played,-0.95790782,-0.791155454,-0.117999043,-0.884878408,-0.601367096
move,-0.77368315,-0.622522583,0.2883219,0.142035322,-0.226088758
enough,-0.718321688,0.226970934,0.499177599,0.038831042,0.872059686
become,-0.235857296,-0.628016718,-0.060355832,0.734970949,-0.639221169
side,-0.94648616,-0.899723608,0.418782846,-0.820693674,0.347462045
national,-0.450013437,-0.051739248,-0.427596936,-0.78784998,0.430540171
