word,gender,eco,race
community,0.0426,0.0481,-0.1011
announced,-0.0182,-0.0436,-0.0128
open,-0.0431,0.0078,0.0019
record,-0.0816,0.0396,-0.039
court,-0.003,0.0588,0.0674
able,-0.0684,-0.0353,-0.0182
something,-0.0794,-0.0499,-0.0539
president,-0.0355,-0.0558,-0.0391
meeting,-0.0553,-0.0307,0.0131
keep,-0.0585,-0.006,-0.0052
future,-0.1019,0.0142,-0.004
far,-0.0718,-0.0357,0.0361
deal,-0.1856,-0.0316,0.0189
development,-0.026,0.0184,-0.0454
find,-0.0219,0.0137,-0.0148
office,-0.0344,0.0192,0.0109
led,-0.029,0.035,0.0277
among,-0.0238,0.0248,-0.0083
increase,-0.0189,0.0559,0.014
whether,-0.1082,0.0064,-0.0357
cost,-0.0366,0.0196,0.0615
security,-0.0439,0.0176,0.0339
job,-0.1127,0.0461,0.0095
less,-0.0502,0.0126,0.0201
head,-0.0705,-0.0182,0.0342
seven,-0.0693,0.0408,0.0186
growth,0.0129,-0.041,0.0084
lost,-0.0243,0.1723,-0.0293
pay,-0.058,-0.0456,0.0529
provide,-0.0029,0.0451,0.0312
products,0.0617,0.0042,0.0155
car,-0.0125,-0.0506,0.0311
recent,-0.0029,0.0893,0.0271
hard,-0.0709,0.0446,-0.014
always,-0.0945,-0.0501,-0.0198
women,0.2713,0.0466,-0.0752
across,0.0248,0.0196,0.0155
tax,-0.0224,-0.2312,0.0138
water,0.0123,0.0756,0.0328
continue,-0.0798,0.0035,0.0059
important,-0.0521,-0.0051,-0.0267
different,-0.0466,-0.001,0.0191
close,-0.0491,-0.018,-0.0077
late,-0.0747,0.0884,0.0216
decision,-0.1504,0.0232,0.0339
current,-0.0872,0.0107,0.031
law,0.0404,-0.07,-0.0434
within,-0.0373,0.0108,0.0445
along,-0.027,-0.0387,0.0375
move,-0.1363,-0.0008,0.004
enough,-0.1172,0.0099,-0.0006
become,-0.0051,-0.0666,-0.0264
side,-0.1203,0.0127,0.0847
national,-0.0254,0.0502,0.0259
results,0.0002,0.0504,0.0227
level,-0.085,0.0267,0.0684
loss,-0.018,0.1573,-0.0458
economic,-0.0337,0.0537,0.0032
coach,-0.1119,0.0844,-0.0301
near,-0.0046,0.0361,-0.0029
price,-0.0391,-0.0861,0.0876
event,0.0271,0.0098,-0.0776
fourth,-0.0809,0.1058,-0.0626
change,-0.0547,0.054,-0.0049
small,0.015,-0.0514,0.0087
board,-0.0435,-0.0024,0.0272
goal,-0.0853,0.0463,-0.0382
taken,-0.0431,0.0386,0.0294
field,-0.1357,0.0865,0.0301
men,-0.0619,0.0103,0.0101
asked,-0.0902,0.0382,-0.0278
eight,-0.0498,0.064,-0.0014
data,0.0774,-0.0308,0.0523
shot,-0.1071,0.0367,-0.0371
director,0.034,0.0203,0.0047
party,0.0072,-0.0461,0.0075
federal,0.0018,-0.0245,0.0104
done,-0.1088,0.0025,0.0085
political,0.0302,-0.0356,-0.0514
minutes,-0.0365,0.0442,0.0696
technology,0.0593,-0.0505,-0.0187
project,0.031,0.0352,-0.0853
center,-0.0918,0.0926,0.013
issue,-0.0271,0.0579,0.0341
though,-0.1115,0.0864,0.0306
period,-0.0643,0.015,0.0153
scored,-0.0507,0.0288,-0.0037
strong,-0.0425,0.0263,0.035
series,-0.0238,0.0088,-0.0064
seen,-0.0275,0.0126,-0.0079
trying,-0.0778,0.0332,-0.0656
process,0.0148,0.0143,-0.0137
building,0.0022,-0.0178,0.0062
behind,-0.0857,0.0559,0.0031
performance,-0.043,0.1278,-0.0062
management,-0.0278,0.0086,0.0427
earlier,-0.0909,0.1258,-0.0159
believe,-0.0993,-0.0017,-0.0173
oil,0.0181,-0.1207,-0.0158
given,-0.0662,0.116,0.0228
customers,0.0127,-0.0442,0.0502
due,0.0049,0.152,0.0158
following,-0.0612,0.0972,0.0197
term,-0.0998,0.0069,0.0469
statement,-0.0449,0.0032,-0.0062
international,-0.0404,0.0499,0.0084
economy,-0.0277,0.0453,-0.0136
return,-0.1527,0.0381,0.0025
killed,-0.01,0.0638,-0.0136
further,-0.0831,-0.0388,0.0148
doing,-0.094,-0.0174,-0.0295
face,-0.0476,0.0445,0.0124
low,-0.0169,0.1269,0.0251
higher,-0.008,0.0661,0.0339
site,0.0364,-0.0509,-0.0026
once,-0.1225,0.0038,0.0284
yet,-0.0861,0.0302,0.0156
hours,0.0179,0.0319,0.0723
control,-0.058,0.0428,0.0208
received,-0.0256,0.0719,0.0313
rate,-0.0097,0.0354,-0.01
career,-0.0849,0.0466,-0.067
known,-0.0356,-0.1107,-0.0169
offer,-0.0737,-0.0436,0.0738
race,-0.0374,-0.0325,0.0143
ever,-0.066,-0.0331,0.0029
experience,-0.0316,-0.0527,0.0119
name,-0.0819,-0.0899,-0.0124
possible,-0.0821,-0.0421,0.0491
average,-0.0272,0.1009,0.01
together,-0.0116,-0.0789,0.018
cut,-0.0411,0.0977,0.0025
total,-0.0595,0.0524,-0.0303
round,-0.0465,0.1115,-0.0213
young,-0.108,0.052,-0.074
campaign,-0.0147,-0.0168,-0.0134
media,-0.0749,-0.0421,0.0337
why,-0.1274,-0.0412,0.0023
house,0.0351,-0.0664,0.0207
fire,-0.0444,0.0459,-0.0195
victory,-0.078,0.0248,-0.0044
began,-0.0065,0.0466,0.0249
sure,-0.1188,-0.0685,-0.0057
story,0.0092,-0.0381,-0.0951
staff,-0.0852,0.0832,0.0172
order,-0.0625,0.0343,-0.0049
large,-0.0015,-0.1178,0.039
stock,-0.06,0.0329,0.0072
food,0.0577,0.1388,-0.0258
research,0.0736,-0.009,0.0286
key,-0.0637,0.0062,0.0376
morning,-0.0253,0.0386,0.0506
conference,-0.0692,-0.0229,0.0216
senior,-0.01,-0.0235,0.0519
global,0.0387,-0.0637,0.0203
person,-0.0352,-0.0212,-0.0589
thought,-0.1098,-0.0071,-0.0399
gave,-0.0668,0.0932,0.0367
feel,-0.0591,0.0019,-0.037
energy,-0.0323,0.0315,0.0231
history,-0.0524,-0.0524,-0.0965
